語言：ja｜可信度：1.000

[00:25:15.874 - 00:25:22.524] lying
[00:25:22.524 - 00:25:27.464] that
[00:25:27.464 - 00:26:09.064] とても辛い
[00:26:09.064 - 00:26:09.864] なんか
[00:26:09.864 - 00:26:11.724] 国際賢叫
[00:26:11.724 - 00:26:16.664] 私は
[00:26:16.664 - 00:26:19.404] とてもなのか
[00:26:19.404 - 00:26:21.264] そして
[00:26:21.264 - 00:26:22.744] 私は
[00:26:22.744 - 00:26:24.344] はてて思わせている、
[00:26:25.004 - 00:26:25.484] とりあえずの情況がなどにいる
[00:26:25.484 - 00:26:49.444] でしょ?
[00:26:49.444 - 00:26:50.164] はてことがなりません
[00:26:50.164 - 00:26:51.244] そこにハーインをやっている
[00:26:51.244 - 00:26:52.224] がん、
[00:26:52.224 - 00:26:54.224] はてことも犬についてたって
[00:26:54.224 - 00:26:55.964] 事事性を教えて楽しめてくる
[00:26:55.964 - 00:26:57.384] という訪問がみこが
[00:26:57.384 - 00:27:01.144] 音楽を着くのは
[00:27:01.144 - 00:27:03.304] スレッドカッドカッドカッド
[00:27:03.304 - 00:27:05.124] カッドカッドカッドアッド
[00:27:05.124 - 00:27:06.344] カッドマークキャッド
[00:27:06.344 - 00:27:07.504] ダメージ、
[00:27:07.504 - 00:27:09.244] ダメージにつくの
[00:27:09.244 - 00:27:10.504] 外因も合わせて楽しみ
[00:27:10.504 - 00:27:11.704] てことも寝る
[00:27:11.704 - 00:27:12.564] という訪問で、
[00:27:12.564 - 00:27:42.624] ポンクキャッド
[00:27:42.624 - 00:27:44.524] SIDE

