# 20141112 宇津木台語文寫作：完整課堂逐字稿

## 第 1 段
語言：ja｜可信度：1.000

[00:00:07.150 - 00:00:15.500] みなさんはちょっと緊張しましたけど、
[00:00:15.500 - 00:00:17.500] 市長、ちょっと不安な感じではないかもしれません。
[00:00:17.500 - 00:00:23.200] 先日、2時間の休業課を上げました。
[00:00:23.200 - 00:00:28.200] その efter すごく温暖だったので、
[00:00:28.200 - 00:00:31.200] それでは、次に国語の文化課を進めよう。
[00:00:31.200 - 00:00:38.400] この文などの文化課を見て、
[00:00:38.400 - 00:00:43.280] ミニアックあーし、
[00:00:43.280 - 00:00:46.280] みんなで書いた感想文を教えてください。
[00:00:48.280 - 00:00:50.280] 人たちがとても難しいです。
[00:00:56.530 - 00:00:58.530] このような方法があって、
[00:00:58.530 - 00:01:00.530] 何かの方法で書いた方法は難しいです。
[00:01:01.530 - 00:01:02.530] 他に、
[00:01:02.530 - 00:01:04.530] 理由を書いた方法は
[00:01:04.530 - 00:01:06.530] とても良い文章です。
[00:01:07.530 - 00:01:09.530] 他に、
[00:01:10.530 - 00:01:13.530] 国語の利益が高くなります。
[00:01:14.530 - 00:01:23.410] 今回、
[00:01:24.410 - 00:01:26.410] 表現の方法を
[00:01:26.410 - 00:01:28.410] 改善すると、
[00:01:29.410 - 00:01:31.410] 色々なものが見えます。
[00:01:32.410 - 00:01:33.410] 他に、
[00:01:34.410 - 00:01:36.410] このような文章を書いた方法は
[00:01:36.410 - 00:01:38.410] とても良い文章です。
[00:01:43.660 - 00:01:47.060] このような文章を書いた方法は
[00:01:47.060 - 00:01:50.060] とても少しの文章です。
[00:01:51.060 - 00:01:53.060] このような文章を書いた方法は
[00:01:53.060 - 00:01:56.060] とても良い文章です。
[00:02:02.600 - 00:02:04.600] このような文章を書いた方法は
[00:02:04.600 - 00:02:06.600] とても良い文章です。
[00:02:07.600 - 00:02:09.600] この文章を書いた方法は
[00:02:09.600 - 00:02:11.600] とても良い文章です。
[00:02:23.710 - 00:02:25.710] 今日は何をしますか?
[00:02:25.710 - 00:02:34.940] 私はそれを考えたのです
[00:02:34.940 - 00:02:36.940] 私は国語の力を上げて
[00:02:36.940 - 00:02:43.340] 国語の力を向上げて
[00:02:43.340 - 00:02:47.340] 私は今日、2個を向上げて
[00:02:47.340 - 00:02:48.340] 私は1個を付けてみようか
[00:02:48.340 - 00:02:51.340] 私の国語の力を向上げて
[00:02:51.340 - 00:02:54.340] 皆さんも緊張してくださいか
[00:02:54.340 - 00:03:08.860] 今日、私は皆さんに紹介する本を
[00:03:08.860 - 00:03:10.860] 見ることができないように
[00:03:10.860 - 00:03:19.180] 私の教育工程の立場は
[00:03:19.180 - 00:03:21.260] みなさまです
[00:03:21.260 - 00:03:23.600] 私たちの部屋 is still
[00:03:23.600 - 00:03:25.580] 若者より濁ですか
[00:03:25.580 - 00:03:26.680] どうですか?
[00:03:26.680 - 00:03:30.180] この音の声の大きな小さな感じ
[00:03:30.180 - 00:03:34.140] 音の声は少なくあります
[00:03:34.140 - 00:03:36.180] それは私たちは本当に人工できれ wish
[00:03:36.180 - 00:03:38.120] この大きなモデルにカラーし
[00:03:38.120 - 00:03:40.560] 音がすぐだけ濁ると
[00:03:40.560 - 00:03:46.900] あなたの要任もある
[00:03:46.900 - 00:03:49.160] 私はまたあえて觀讀 합니다
[00:03:49.160 - 00:03:58.620] 私たちはこの本を使って
[00:03:58.620 - 00:04:10.290] 文字の文字はない
[00:04:10.290 - 00:04:13.600] 文字はない
[00:04:13.600 - 00:04:15.600] 誰が見えないの?
[00:04:15.600 - 00:04:30.340] 彼らは
[00:04:30.340 - 00:04:32.340] 非常に有趣で
[00:04:32.340 - 00:04:34.340] 彼らは
[00:04:34.340 - 00:04:36.340] 文字がない
[00:04:36.340 - 00:04:38.340] 彼らは
[00:04:38.340 - 00:04:40.340] 文字を充滿する
[00:04:40.340 - 00:04:42.340] 彼らは
[00:04:42.340 - 00:04:44.340] 文字を見ることに
[00:04:44.340 - 00:04:46.340] 勉強している
[00:04:46.340 - 00:04:48.340] 彼らは
[00:04:48.340 - 00:04:50.340] 文字を考えた
[00:04:50.340 - 00:04:52.340] 非常に有趣で
[00:04:52.340 - 00:04:54.340] 彼らは
[00:04:54.340 - 00:04:56.340] 世界の中で
[00:04:56.340 - 00:04:58.340] 文字がない
[00:04:58.340 - 00:05:00.340] 彼らは
[00:05:00.340 - 00:05:02.340] 文字を見ることにより
[00:05:02.340 - 00:05:22.640] 彼らは
[00:05:22.640 - 00:05:24.640] 彼らは
[00:05:24.640 - 00:05:26.640] 文字を見ることにより
[00:05:26.640 - 00:05:28.640] 彼らは
[00:05:28.640 - 00:05:30.640] 文字を見ることにより
[00:05:30.640 - 00:05:32.640] 彼らは
[00:05:32.640 - 00:05:34.640] 文字を見ることにより
[00:05:34.640 - 00:05:36.640] 彼らは
[00:05:36.640 - 00:05:38.640] 文字を見ることにより
[00:05:38.640 - 00:05:40.640] 彼らは
[00:05:40.640 - 00:05:42.640] 文字を見ることにより
[00:05:42.640 - 00:05:44.640] 彼らは
[00:05:44.640 - 00:05:46.640] 文字を見ることにより
[00:05:46.640 - 00:05:48.640] 彼らは
[00:05:48.640 - 00:05:50.640] 文字を見ることにより
[00:05:50.640 - 00:05:52.640] 彼らは
[00:05:52.640 - 00:05:57.260] 文字を見ることにより
[00:05:57.260 - 00:05:59.260] 彼らは
[00:05:59.260 - 00:06:01.260] 文字を見ることにより
[00:06:01.260 - 00:06:06.140] 彼らは
[00:06:06.140 - 00:06:08.140] 文字を見ることにより
[00:06:08.140 - 00:06:10.140] 彼らは
[00:06:10.140 - 00:06:12.140] ピンクォー
[00:06:12.140 - 00:06:14.140] みんなと一緒に話してるよ
[00:06:14.140 - 00:06:18.480] 1つの読み
