語言：ja｜可信度：1.000

[00:00:07.150 - 00:00:15.500] みなさんはちょっと緊張しましたけど、
[00:00:15.500 - 00:00:17.500] 市長、ちょっと不安な感じではないかもしれません。
[00:00:17.500 - 00:00:23.200] 先日、2時間の休業課を上げました。
[00:00:23.200 - 00:00:28.200] その efter すごく温暖だったので、
[00:00:28.200 - 00:00:31.200] それでは、次に国語の文化課を進めよう。
[00:00:31.200 - 00:00:38.400] この文などの文化課を見て、
[00:00:38.400 - 00:00:43.280] ミニアックあーし、
[00:00:43.280 - 00:00:46.280] みんなで書いた感想文を教えてください。
[00:00:48.280 - 00:00:50.280] 人たちがとても難しいです。
[00:00:56.530 - 00:00:58.530] このような方法があって、
[00:00:58.530 - 00:01:00.530] 何かの方法で書いた方法は難しいです。
[00:01:01.530 - 00:01:02.530] 他に、
[00:01:02.530 - 00:01:04.530] 理由を書いた方法は
[00:01:04.530 - 00:01:06.530] とても良い文章です。
[00:01:07.530 - 00:01:09.530] 他に、
[00:01:10.530 - 00:01:13.530] 国語の利益が高くなります。
[00:01:14.530 - 00:01:23.410] 今回、
[00:01:24.410 - 00:01:26.410] 表現の方法を
[00:01:26.410 - 00:01:28.410] 改善すると、
[00:01:29.410 - 00:01:31.410] 色々なものが見えます。
[00:01:32.410 - 00:01:33.410] 他に、
[00:01:34.410 - 00:01:36.410] このような文章を書いた方法は
[00:01:36.410 - 00:01:38.410] とても良い文章です。
[00:01:43.660 - 00:01:47.060] このような文章を書いた方法は
[00:01:47.060 - 00:01:50.060] とても少しの文章です。
[00:01:51.060 - 00:01:53.060] このような文章を書いた方法は
[00:01:53.060 - 00:01:56.060] とても良い文章です。
[00:02:02.600 - 00:02:04.600] このような文章を書いた方法は
[00:02:04.600 - 00:02:06.600] とても良い文章です。
[00:02:07.600 - 00:02:09.600] この文章を書いた方法は
[00:02:09.600 - 00:02:11.600] とても良い文章です。
[00:02:23.710 - 00:02:25.710] 今日は何をしますか?
[00:02:25.710 - 00:02:34.940] 私はそれを考えたのです
[00:02:34.940 - 00:02:36.940] 私は国語の力を上げて
[00:02:36.940 - 00:02:43.340] 国語の力を向上げて
[00:02:43.340 - 00:02:47.340] 私は今日、2個を向上げて
[00:02:47.340 - 00:02:48.340] 私は1個を付けてみようか
[00:02:48.340 - 00:02:51.340] 私の国語の力を向上げて
[00:02:51.340 - 00:02:54.340] 皆さんも緊張してくださいか
[00:02:54.340 - 00:03:08.860] 今日、私は皆さんに紹介する本を
[00:03:08.860 - 00:03:10.860] 見ることができないように
[00:03:10.860 - 00:03:19.180] 私の教育工程の立場は
[00:03:19.180 - 00:03:21.260] みなさまです
[00:03:21.260 - 00:03:23.600] 私たちの部屋 is still
[00:03:23.600 - 00:03:25.580] 若者より濁ですか
[00:03:25.580 - 00:03:26.680] どうですか?
[00:03:26.680 - 00:03:30.180] この音の声の大きな小さな感じ
[00:03:30.180 - 00:03:34.140] 音の声は少なくあります
[00:03:34.140 - 00:03:36.180] それは私たちは本当に人工できれ wish
[00:03:36.180 - 00:03:38.120] この大きなモデルにカラーし
[00:03:38.120 - 00:03:40.560] 音がすぐだけ濁ると
[00:03:40.560 - 00:03:46.900] あなたの要任もある
[00:03:46.900 - 00:03:49.160] 私はまたあえて觀讀 합니다
[00:03:49.160 - 00:03:58.620] 私たちはこの本を使って
[00:03:58.620 - 00:04:10.290] 文字の文字はない
[00:04:10.290 - 00:04:13.600] 文字はない
[00:04:13.600 - 00:04:15.600] 誰が見えないの?
[00:04:15.600 - 00:04:30.340] 彼らは
[00:04:30.340 - 00:04:32.340] 非常に有趣で
[00:04:32.340 - 00:04:34.340] 彼らは
[00:04:34.340 - 00:04:36.340] 文字がない
[00:04:36.340 - 00:04:38.340] 彼らは
[00:04:38.340 - 00:04:40.340] 文字を充滿する
[00:04:40.340 - 00:04:42.340] 彼らは
[00:04:42.340 - 00:04:44.340] 文字を見ることに
[00:04:44.340 - 00:04:46.340] 勉強している
[00:04:46.340 - 00:04:48.340] 彼らは
[00:04:48.340 - 00:04:50.340] 文字を考えた
[00:04:50.340 - 00:04:52.340] 非常に有趣で
[00:04:52.340 - 00:04:54.340] 彼らは
[00:04:54.340 - 00:04:56.340] 世界の中で
[00:04:56.340 - 00:04:58.340] 文字がない
[00:04:58.340 - 00:05:00.340] 彼らは
[00:05:00.340 - 00:05:02.340] 文字を見ることにより
[00:05:02.340 - 00:05:22.640] 彼らは
[00:05:22.640 - 00:05:24.640] 彼らは
[00:05:24.640 - 00:05:26.640] 文字を見ることにより
[00:05:26.640 - 00:05:28.640] 彼らは
[00:05:28.640 - 00:05:30.640] 文字を見ることにより
[00:05:30.640 - 00:05:32.640] 彼らは
[00:05:32.640 - 00:05:34.640] 文字を見ることにより
[00:05:34.640 - 00:05:36.640] 彼らは
[00:05:36.640 - 00:05:38.640] 文字を見ることにより
[00:05:38.640 - 00:05:40.640] 彼らは
[00:05:40.640 - 00:05:42.640] 文字を見ることにより
[00:05:42.640 - 00:05:44.640] 彼らは
[00:05:44.640 - 00:05:46.640] 文字を見ることにより
[00:05:46.640 - 00:05:48.640] 彼らは
[00:05:48.640 - 00:05:50.640] 文字を見ることにより
[00:05:50.640 - 00:05:52.640] 彼らは
[00:05:52.640 - 00:05:57.260] 文字を見ることにより
[00:05:57.260 - 00:05:59.260] 彼らは
[00:05:59.260 - 00:06:01.260] 文字を見ることにより
[00:06:01.260 - 00:06:06.140] 彼らは
[00:06:06.140 - 00:06:08.140] 文字を見ることにより
[00:06:08.140 - 00:06:10.140] 彼らは
[00:06:10.140 - 00:06:12.140] ピンクォー
[00:06:12.140 - 00:06:14.140] みんなと一緒に話してるよ
[00:06:14.140 - 00:06:18.480] 1つの読み
[00:06:18.480 - 00:06:20.480] この絵本の感想はありますか?
[00:06:20.480 - 00:06:28.210] この絵本の中に
[00:06:28.210 - 00:06:30.210] 白紙の上に
[00:06:30.210 - 00:06:32.210] 紅色と
[00:06:32.210 - 00:06:34.210] 黑色の色がある
[00:06:34.210 - 00:06:36.210] 本当だ
[00:06:36.210 - 00:06:45.310] この絵本の中に
[00:06:45.310 - 00:06:47.310] 色がある
[00:06:47.310 - 00:06:54.210] ギターの中に
[00:06:54.210 - 00:07:03.150] この絵本の中に
[00:07:03.150 - 00:07:05.150] 氣球の形状は
[00:07:05.150 - 00:07:07.150] 今、
[00:07:07.150 - 00:07:09.150] 見ると
[00:07:09.150 - 00:07:11.150] 絵本の中に
[00:07:11.150 - 00:07:13.150] 1つの絵本の中に
[00:07:13.150 - 00:07:15.150] 絵本の中に
[00:07:15.150 - 00:07:17.150] 文字がありません
[00:07:17.150 - 00:07:19.150] 絵本の中に
[00:07:19.150 - 00:07:21.150] 文字がありません
[00:07:21.150 - 00:07:23.150] 絵本の中に
[00:07:23.150 - 00:07:25.150] 文字がある
[00:07:25.150 - 00:07:30.770] 絵本の中に
[00:07:30.770 - 00:07:32.770] 紅色、白色
[00:07:32.770 - 00:07:34.770] 非常に簡易
[00:07:34.770 - 00:07:49.410] 白紙の上に
[00:07:49.410 - 00:07:51.410] 紅色は
[00:07:51.410 - 00:07:53.410] 非常に集中
[00:07:53.410 - 00:07:55.410] 非常に簡易
[00:07:55.410 - 00:07:57.410] 非常に簡易
[00:07:57.410 - 00:08:06.770] みんなと
[00:08:06.770 - 00:08:08.770] 思い出した
[00:08:08.770 - 00:08:12.140] みんなと
[00:08:12.140 - 00:08:14.140] 絵本の中に
[00:08:14.140 - 00:08:16.140] 文字がありません
[00:08:16.140 - 00:08:18.140] 絵本の中に
[00:08:18.140 - 00:08:20.140] 文字がありません
[00:08:20.140 - 00:08:22.140] 今日
[00:08:22.140 - 00:08:24.140] 絵本の中に
[00:08:24.140 - 00:08:26.140] 文字がありません
[00:08:26.140 - 00:08:28.140] さあhhh
[00:08:28.140 - 00:08:35.520] 絵本の中に
[00:08:35.520 - 00:08:37.520] 絵本の中に
[00:08:37.520 - 00:08:39.000] 文字を
[00:08:39.000 - 00:08:39.520] 勉強問求
[00:08:39.520 - 00:08:40.520] 動物を
[00:08:40.520 - 00:08:41.520] つぎらせ
[00:08:41.520 - 00:08:43.520] 思う
[00:08:43.520 - 00:08:45.520] ループで
[00:08:45.520 - 00:08:47.520] でした
[00:08:47.520 - 00:08:49.520] これでも
[00:08:49.520 - 00:08:50.520] 絵本の中に
[00:08:50.520 - 00:08:51.520] 文字がありません
[00:08:51.520 - 00:08:53.520] 第1 回
[00:08:53.520 - 00:08:55.520] 絵本の中に
[00:08:55.520 - 00:08:57.520] 文字を
[00:08:57.520 - 00:08:59.520] 揃えながら
[00:08:59.520 - 00:09:00.520] 朗読のことで
[00:09:00.520 - 00:09:05.500] 私は今日は私の含みのキャラクターを使います。
[00:09:05.640 - 00:09:11.460] 私が一本書いる、一本のシアメリカ、一本のシアメリカの記念会を寫ることができます。
[00:09:11.460 - 00:09:14.720] もちろん、私たちは同士に大きな恐怖をしています。
[00:09:14.720 - 00:09:20.800] 私たちも恐怖をすれば、学校までにいかないこともすることをすること。
[00:09:20.800 - 00:09:23.760] そうなので、私たちはあなたにお好みの同士におそらくのように、
[00:09:23.840 - 00:09:27.320] 私たちはあなたの旅読に関心できない。
[00:10:04.390 - 00:10:10.060] あなたは自分の信頼を与えることができます
[00:10:18.770 - 00:10:21.770] 私は他の主人公に行くことができますか?
[00:10:21.770 - 00:10:24.770] 他の人の想像を見てください
[00:10:31.500 - 00:10:34.500] 私たちは私たちの故事を始めます
[00:10:36.500 - 00:10:40.500] 私たちの内心に思い出した故事を
[00:10:40.500 - 00:10:42.500] 私たちに書かせてください
[00:10:45.840 - 00:10:47.840] 私たちの故事とは
[00:11:49.380 - 00:11:52.380] 私たちの他にも人生の人類を彼の人間にすることができます
[00:11:52.380 - 00:11:53.380] 話をした瞬間の方を
[00:11:53.380 - 00:11:55.380] 私たちの話をした瞬間の方を
[00:11:55.380 - 00:11:57.380] 私たちと一緒に話をした瞬間の方を
[00:11:57.380 - 00:11:59.280] 私たちの言葉を
[00:11:59.380 - 00:12:08.420] 私たちに知りたいコメントがあります
[00:12:08.420 - 00:12:10.420] 私たちの言葉を
[00:12:10.420 - 00:12:13.420] 私たちと一緒に話をしてください
[00:12:13.420 - 00:12:17.420] 一緒に話をしてください
[00:12:17.420 - 00:12:20.420] 私たちの故事を始めます
[00:12:20.420 - 00:12:32.820] 彼の筆記本の上にありますか?
[00:12:32.820 - 00:12:34.820] 彼は彼は彼が作っているのです
[00:12:34.820 - 00:12:38.820] 彼は彼の童旋の筆記本の上にあるのです
[00:12:38.820 - 00:12:40.820] 彼は彼の筆記本の上にあるのです
[00:12:40.820 - 00:12:42.820] 彼は彼は彼の表情が大きいです
[00:12:42.820 - 00:13:26.620] 私は
[00:13:26.620 - 00:13:28.620] 汽車に行きました
[00:13:28.620 - 00:14:48.120] 彼は旅行を始めました
[00:14:48.120 - 00:15:25.160] 彼は彼は
